transaction_amount,customer_age,account_balance,num_transactions_30d,transaction_hour,distance_from_home_km,merchant_category,is_fraud
57370.57,47,562136.06,16,10,23.62,grocery,0
24792.28,34,421091.44,14,19,9.03,electronics,0
187463.86,63,1410520.31,21,22,11.6,utilities,0
198941.8,43,423491.85,13,7,28.59,entertainment,0
19350.24,22,152935.36,21,11,0.31,grocery,0
12241.97,47,248777.97,19,15,18.44,grocery,0
15881.74,33,1502089.71,44,15,12.81,electronics,0
109716.28,64,160014.31,6,13,5.35,utilities,0
50932.34,47,571962.34,7,14,23.32,grocery,0
68322.44,47,126059.21,16,12,16.03,electronics,0
298.75,18,680821.19,12,9,28.19,grocery,0
6062.51,66,585527.96,13,17,8.77,entertainment,0
26754.59,38,373334.55,11,17,7.73,utilities,0
36447.44,26,960363.94,9,0,1.34,electronics,0
21802.52,27,417741.73,8,10,712.45,travel,1
126978.22,66,462582.08,19,19,9.41,entertainment,1
23630.02,67,1073827.28,44,18,18.61,utilities,0
285526.61,40,390426.89,12,14,11.7,entertainment,0
59128.69,50,406542.37,10,10,5.04,travel,0
298.75,54,154670.29,14,8,0.31,utilities,0
122254.76,66,246664.67,32,15,3.94,electronics,1
308210.63,36,192469.55,8,9,12.84,entertainment,0
203470.59,39,326249.02,13,13,8.76,grocery,1
26874.12,29,849831.79,6,6,5.68,electronics,0
23738.39,42,195567.26,9,21,11.51,electronics,0
8535.58,54,163838.01,10,13,20.72,electronics,0
418672.3,27,195772.08,8,9,5.58,utilities,0
298.75,46,362243.4,5,3,624.66,travel,1
418672.3,50,115141.54,5,10,5.76,grocery,0
7045.38,59,186950.78,9,12,28.51,electronics,0
298.75,61,424738.95,7,18,20.91,entertainment,0
10224.29,63,538283.17,6,16,8.91,travel,0
18221.76,53,310893.04,11,23,2.16,electronics,0
12363.45,21,10943.85,18,3,18.08,grocery,0
12059.64,18,57041.88,18,19,11.26,entertainment,0
418672.3,22,111895.2,15,21,22.83,entertainment,0
19881.99,62,185640.72,42,10,10.39,entertainment,0
6048.21,18,1397336.17,17,9,0.31,electronics,0
21717.9,47,1482702.5,19,18,0.59,electronics,0
85114.17,50,498269.36,14,18,7.77,travel,0
9968.26,41,77667.81,44,22,11.42,grocery,0
47392.56,71,141847.89,11,10,0.31,utilities,0
186950.04,29,248314.14,5,21,21.68,utilities,0
33781.6,18,549343.44,13,14,26.96,grocery,0
15270.47,53,286477.62,8,16,21.2,entertainment,0
8593.62,50,322098.85,19,9,9.83,electronics,0
298.75,53,1457746.22,10,11,12.11,grocery,0
466.24,24,210886.32,12,9,341.22,grocery,0
424.42,65,411170.27,12,13,9.66,grocery,0
87363.29,36,227048.04,18,12,3.37,entertainment,0
298.75,68,1252706.08,12,9,11.19,travel,0
7058.83,30,190961.29,16,18,12.57,grocery,0
162465.03,33,1095815.66,44,22,319.81,grocery,0
28175.17,35,181922.53,18,13,11.08,grocery,0
160283.12,57,151412.48,18,19,28.45,utilities,1
4109.56,52,486967.65,11,10,29.92,entertainment,0
82713.05,55,873473.92,11,11,0.31,electronics,0
274367.82,32,603131.77,30,21,10.65,utilities,0
118767.79,40,165092.05,22,9,2.52,electronics,1
298.75,68,321220.55,19,8,9.02,travel,0
195417.12,34,340444.12,20,18,27.46,electronics,0
12202.75,73,202755.53,39,7,4.47,travel,0
5399.63,65,155012.49,11,10,3.39,grocery,0
38612.98,31,309113.88,21,20,14.07,electronics,0
18809.39,32,344574.66,21,11,3.31,grocery,0
298.75,65,2156089.47,10,18,29.08,electronics,0
298.75,26,432868.59,9,12,1.55,travel,0
298.75,45,10943.85,9,12,8.72,electronics,0
21799.87,68,344025.65,44,13,397.55,grocery,0
298.75,59,358404.15,10,18,0.31,grocery,0
152783.04,64,155209.07,9,23,12.1,utilities,0
15685.55,36,95166.2,7,10,10.35,grocery,1
33362.3,62,1119737.46,10,19,25.69,entertainment,0
161625.16,28,263757.97,15,18,10.84,grocery,0
28885.35,56,385136.51,12,9,19.79,electronics,0
53739.38,42,235778.71,44,16,667.54,electronics,0
127650.89,27,407582.43,27,10,0.31,utilities,0
12189.45,46,662902.12,8,21,1.67,utilities,0
80156.91,53,102221.18,8,9,11.12,electronics,0
77252.93,33,1144434.62,18,21,561.84,electronics,1
298.75,47,419875.56,15,23,11.09,grocery,0
14632.09,35,395724.52,16,21,634.47,entertainment,0
103283.95,48,494541.85,44,18,17.37,electronics,0
11061.03,47,1026052.5,11,13,14.28,electronics,1
30916.29,42,579546.23,13,22,0.31,grocery,0
298.75,46,343036.5,10,19,0.31,utilities,0
487.24,21,107589.36,18,13,0.31,electronics,0
298.75,68,317285.76,26,10,18.03,utilities,0
3189.12,59,769861.44,19,8,712.45,travel,0
20021.06,62,125788.61,11,19,28.3,travel,0
23125.78,35,695356.07,15,11,712.45,utilities,0
298.75,28,319773.77,9,12,7.91,electronics,0
298.75,26,155187.15,10,11,11.03,utilities,0
45903.85,53,238418.65,6,18,11.86,grocery,0
10166.98,51,158275.33,9,13,5.34,travel,1
17644.27,27,260062.92,19,10,8.15,travel,0
11712.39,58,177452.66,11,7,38.42,entertainment,0
414914.49,47,415456.42,27,0,12.24,electronics,0
145055.89,42,280244.73,16,14,27.76,travel,0
163501.1,54,300861.57,3,18,20.48,utilities,0
148603.37,44,1483072.92,15,16,9.52,grocery,0
298.75,59,115989.07,15,8,18.41,entertainment,0
19806.89,67,395843.25,12,10,8.15,utilities,0
17611.25,40,402514.66,44,11,571.0,electronics,0
69665.67,52,54645.56,44,11,8.67,travel,0
28009.3,24,42707.21,13,9,24.82,grocery,0
26989.72,58,425606.0,42,9,5.03,travel,0
321316.52,39,1314726.78,21,19,8.61,travel,1
10534.49,51,384190.72,8,10,11.15,entertainment,0
10599.06,28,555042.76,11,11,666.14,electronics,0
13488.35,52,542104.42,16,22,7.15,electronics,0
27186.05,23,458020.12,44,10,11.25,grocery,0
1242.23,35,249705.27,22,9,528.15,electronics,0
298.75,57,338600.32,15,11,4.78,electronics,0
298.75,55,48299.79,16,13,25.92,utilities,0
34930.15,24,1396434.48,20,20,11.96,grocery,0
33573.24,54,261935.12,10,9,8.91,utilities,1
27807.54,30,352335.28,7,0,28.7,travel,0
69884.93,65,218237.32,11,22,9.19,electronics,0
298.75,49,31256.58,44,14,27.44,utilities,0
298.75,48,274734.31,10,18,7.61,electronics,0
115112.75,42,153304.98,31,17,712.45,entertainment,0
129650.26,58,592842.75,14,8,5.63,travel,0
44576.31,25,688133.47,5,12,18.66,grocery,1
24099.83,47,662829.07,33,9,11.08,electronics,1
298.75,34,260693.06,19,10,212.26,travel,0
2685.38,64,541801.88,6,17,23.69,travel,0
298.75,51,544237.28,12,19,610.1,electronics,0
137661.94,45,325648.53,44,7,10.43,electronics,0
90721.66,32,220034.79,16,12,9.32,travel,0
101151.92,41,198128.65,7,3,21.89,electronics,1
50767.74,43,151952.97,10,9,27.94,grocery,0
298.75,21,126596.57,13,19,11.2,electronics,0
321948.49,55,246077.96,10,8,19.78,electronics,0
298.75,46,2156089.47,16,18,235.03,electronics,0
17998.91,18,43845.74,9,15,712.45,electronics,1
27378.49,65,357602.14,18,14,10.55,electronics,0
201814.39,47,555062.21,20,0,400.76,electronics,0
5206.9,18,1541653.92,19,23,14.88,travel,0
298.75,47,279443.94,15,11,0.31,entertainment,0
35202.18,36,239041.04,18,12,20.93,grocery,0
66175.96,34,1176145.37,44,8,12.09,travel,0
8440.51,40,402916.33,14,13,10.15,grocery,0
14518.88,63,157816.91,40,18,12.44,electronics,0
418672.3,21,1623951.76,4,8,4.44,electronics,1
341925.21,40,1124837.99,3,23,2.12,electronics,0
298.75,33,226662.69,16,12,18.32,electronics,0
298.75,56,334507.4,29,9,2.2,electronics,0
33577.43,25,319734.2,8,10,12.27,travel,0
298.75,48,700612.66,13,9,4.06,entertainment,0
5915.09,60,298087.35,31,10,2.82,utilities,0
33319.76,48,36254.86,14,13,2.93,entertainment,0
43840.35,53,383214.85,32,8,14.03,travel,1
6658.18,45,73407.24,35,11,9.95,grocery,0
70004.68,35,155748.52,12,10,9.36,electronics,1
27200.67,44,597888.03,18,12,156.81,electronics,0
41803.2,36,363266.66,14,13,28.22,grocery,0
34299.88,32,636066.1,44,22,10.37,grocery,0
418672.3,41,273823.9,11,9,13.02,utilities,0
298.75,53,273771.26,10,19,2.15,entertainment,0
5041.53,32,105749.46,22,11,6.57,utilities,0
17133.76,34,654116.48,17,18,9.0,entertainment,0
44807.75,46,208831.69,15,12,583.62,electronics,0
36342.2,46,406126.89,7,18,7.66,travel,0
48843.89,43,65122.32,18,9,495.99,travel,0
3150.9,47,600347.99,19,12,663.15,utilities,0
418672.3,63,246637.65,7,22,13.16,grocery,0
23639.87,51,232174.58,15,22,7.89,utilities,0
55081.9,34,291865.65,3,17,19.93,grocery,0
6640.98,53,619958.81,9,20,0.54,utilities,1
59214.92,44,293941.69,9,22,7.41,utilities,1
11031.09,30,283584.19,41,8,10.32,travel,0
298.75,37,155584.53,5,10,141.09,grocery,0
298.75,29,186801.96,44,19,10.63,entertainment,0
52981.78,31,295712.68,21,12,9.57,travel,1
1555.67,27,609130.08,11,9,6.87,utilities,0
298.75,39,984369.99,37,18,2.86,travel,0
298.75,42,110139.33,18,23,616.56,grocery,0
16019.25,51,954712.63,19,14,24.2,entertainment,0
178010.89,53,975339.58,30,23,17.57,utilities,0
12247.64,68,131392.87,9,18,8.61,travel,0
298.75,35,721014.39,44,22,6.25,electronics,0
384111.07,40,117979.09,17,21,8.94,travel,0
19214.29,71,79143.41,5,0,2.11,electronics,0
194266.44,25,228146.74,20,9,11.41,grocery,0
298.75,72,147672.26,3,18,9.65,entertainment,0
10562.77,57,301501.41,26,9,11.63,entertainment,0
160647.13,38,644164.28,12,8,712.45,grocery,0
358915.82,64,457064.7,21,0,625.02,grocery,0
66669.09,37,1040147.87,18,20,8.92,travel,0
1003.15,18,341970.62,7,12,0.31,utilities,0
298.75,43,333020.57,17,14,14.6,utilities,0
30796.88,57,426057.7,31,23,11.83,travel,0
298.75,61,49475.81,16,19,7.9,electronics,0
16238.42,64,120037.04,21,14,13.12,grocery,0
298.75,26,386720.79,16,10,14.26,entertainment,0
298.75,48,327711.86,17,18,203.57,travel,0
99791.99,26,306901.81,15,22,6.47,utilities,0
74921.43,23,280351.19,19,17,0.31,utilities,0
42847.58,58,1303686.41,9,12,6.76,utilities,0
192108.63,39,69390.82,9,9,25.65,electronics,1
26173.89,53,215417.11,7,10,5.59,travel,0
145897.66,49,247014.68,8,20,7.38,utilities,0
22494.14,59,206270.47,13,12,20.93,electronics,0
7892.45,69,321602.87,6,5,13.27,utilities,0
38758.85,60,339781.04,13,8,2.98,travel,0
35458.22,18,269307.76,8,12,13.22,grocery,0
65922.44,59,339256.08,15,14,47.29,electronics,0
199430.79,50,946413.12,7,7,447.95,electronics,1
8970.65,74,222307.15,18,17,2.57,electronics,0
20243.95,54,55938.88,6,20,13.6,utilities,0
298.75,57,355057.25,13,17,564.13,grocery,0
73708.61,49,64393.34,44,8,20.55,grocery,0
19849.98,71,50419.42,17,10,7.67,utilities,0
43349.57,19,580260.12,14,9,712.45,grocery,0
16345.6,39,190698.76,11,13,11.57,entertainment,1
24688.05,49,298674.48,14,23,3.56,utilities,0
21699.05,48,312620.41,5,10,10.03,travel,0
298.75,35,316650.68,9,19,14.66,entertainment,0
174069.77,38,139966.92,14,11,0.31,travel,0
86092.48,67,2156089.47,14,22,27.71,electronics,0
72634.68,29,770861.67,12,15,19.45,travel,1
18922.42,25,1240240.72,7,4,0.31,utilities,0
16993.28,23,121293.44,16,10,6.89,electronics,0
179127.1,30,407128.75,10,17,712.45,travel,0
181046.55,31,595043.94,8,11,5.65,electronics,1
7629.78,36,93871.75,10,22,11.5,grocery,0
19101.81,18,148619.05,11,11,5.4,grocery,1
3351.81,50,406538.68,11,18,3.55,electronics,0
6391.44,47,335129.44,16,12,4.25,travel,0
369459.27,58,643277.86,20,7,6.41,travel,1
21940.32,34,892504.44,18,9,15.22,electronics,0
152040.96,42,621313.18,4,11,13.42,electronics,0
75212.22,61,264608.32,10,21,5.5,electronics,0
37462.75,70,318529.85,17,11,43.48,travel,0
19404.98,41,765536.69,11,13,19.87,entertainment,0
66633.24,18,956877.2,9,22,2.22,travel,0
328438.29,36,142643.96,21,11,7.61,electronics,0
180893.69,39,278253.25,20,15,18.8,grocery,0
14720.12,74,86117.37,10,13,11.53,electronics,0
15781.74,18,433322.3,22,19,712.45,grocery,0
7308.31,50,651044.58,12,0,0.31,electronics,0
25983.87,69,316321.15,5,22,20.46,travel,0
418672.3,41,224992.18,7,10,712.45,utilities,0
188288.06,46,552617.7,17,13,7.66,utilities,1
179538.95,34,23704.73,7,11,12.84,grocery,0
1573.96,29,2156089.47,18,12,11.41,travel,0
46937.41,52,556226.72,21,21,7.43,utilities,0
298.75,56,599021.01,16,10,1.35,travel,0
298.75,55,388502.63,9,12,620.23,travel,0
345846.16,57,99823.63,16,12,10.21,grocery,0
64387.46,28,277057.4,20,18,10.79,electronics,1
17333.95,18,327430.38,20,10,0.31,travel,1
48889.76,71,414571.01,44,17,21.75,entertainment,0
9617.05,30,435773.58,14,10,0.31,utilities,0
10173.13,25,257085.94,12,13,5.97,electronics,0
20481.5,72,605885.46,15,16,9.73,entertainment,0
53865.88,62,279485.62,20,18,24.72,travel,0
1952.84,38,188315.14,9,12,18.62,travel,0
19268.62,28,250519.05,32,15,12.0,electronics,0
20651.11,62,181729.93,17,22,20.86,utilities,0
298.75,70,326329.66,13,10,17.97,grocery,0
32494.55,45,373069.52,11,8,12.06,grocery,0
14981.03,26,180437.65,16,23,5.91,utilities,0
69266.93,52,566603.25,18,11,671.23,travel,1
73748.32,49,391284.53,16,17,712.45,entertainment,0
39249.57,68,10943.85,14,14,1.12,utilities,0
298.75,42,172507.77,16,18,14.44,entertainment,0
19041.58,64,726809.38,9,14,6.9,entertainment,0
298.75,32,188012.06,12,0,10.51,grocery,0
298.75,36,110419.14,18,22,11.75,utilities,0
63814.45,67,179897.35,44,10,24.92,electronics,0
21941.24,34,141780.81,15,21,10.57,grocery,0
86066.67,37,199767.47,6,18,7.77,travel,1
32790.04,51,53067.31,21,18,11.44,electronics,0
13838.55,31,608618.25,15,0,8.59,electronics,0
298.75,60,328673.58,18,11,13.12,grocery,0
83239.57,33,293592.58,36,13,310.02,travel,1
187475.76,45,1289974.7,8,10,712.45,travel,0
298.75,36,1405659.84,13,8,712.45,entertainment,0
298.75,56,1400489.57,16,11,4.4,utilities,0
38739.68,22,389424.25,6,14,8.51,entertainment,0
6366.29,39,395148.18,28,7,7.65,grocery,0
31368.29,48,142729.79,17,9,115.73,electronics,0
18904.89,58,191966.61,12,12,0.31,utilities,0
3302.07,74,103111.43,20,14,21.4,grocery,0
23997.49,49,152153.96,4,0,3.22,utilities,0
3078.38,66,265292.02,11,17,4.42,entertainment,0
28148.15,69,298406.84,10,23,10.3,entertainment,0
10264.89,23,492063.85,23,23,11.27,grocery,0
298.75,44,97446.03,12,22,12.56,grocery,0
76477.34,53,480740.34,7,8,23.46,grocery,0
13803.02,48,344699.19,17,9,7.23,entertainment,0
261173.53,47,451598.22,17,20,1.93,travel,1
2184.76,20,305018.55,44,21,0.85,electronics,0
1168.25,35,80952.05,10,14,8.43,utilities,0
68353.27,69,10943.85,16,8,5.08,entertainment,0
298.75,54,414500.93,15,7,12.61,entertainment,0
49017.55,46,58657.32,23,16,509.13,grocery,0
13027.2,21,1160986.6,39,4,5.74,electronics,0
38513.2,51,228565.29,9,9,603.0,utilities,0
14267.78,45,357471.04,19,0,712.45,electronics,1
10598.76,60,259825.52,17,8,11.26,electronics,0
32636.23,69,236992.96,16,13,2.44,travel,0
298.75,40,305218.12,21,11,0.31,electronics,0
1275.83,34,439820.7,10,18,17.26,entertainment,0
298.75,34,308631.38,44,7,29.12,electronics,0
298.75,51,278395.73,10,19,11.4,grocery,0
30891.85,41,488223.52,12,23,10.08,utilities,0
198219.93,20,685764.64,13,23,9.48,electronics,1
1781.8,65,329605.85,11,11,9.37,utilities,0
143920.61,32,1469835.79,9,15,23.88,travel,1
24734.09,20,393877.86,11,12,8.7,utilities,0
36131.29,26,53425.33,11,17,11.6,grocery,0
16981.67,34,190482.42,44,22,110.45,grocery,0
27221.74,58,141352.24,27,18,17.12,entertainment,0
20761.97,28,641140.52,21,14,3.02,travel,1
418672.3,27,253857.11,14,13,6.62,travel,1
307388.88,29,356256.85,11,10,24.4,entertainment,0
51448.84,62,592601.52,11,11,176.38,travel,0
22586.71,19,427403.07,8,11,0.31,utilities,1
88981.91,43,31035.28,20,21,17.36,utilities,0
298.75,48,364168.02,20,13,13.28,entertainment,0
15144.92,28,311802.09,18,11,11.59,grocery,0
181678.36,52,541815.02,16,19,11.32,electronics,0
298.75,47,933967.96,19,7,9.99,utilities,0
138072.25,61,332898.29,18,9,152.11,electronics,0
75211.34,47,361948.94,17,4,0.31,grocery,0
74695.09,53,373748.21,19,22,0.31,electronics,0
298.75,50,397669.68,9,11,4.43,entertainment,0
13998.63,64,158718.51,13,20,21.15,grocery,0
1345.65,31,351384.81,12,17,318.49,utilities,0
133338.42,48,105680.11,15,23,1.77,utilities,0
6084.97,67,167568.51,20,11,8.01,grocery,0
34279.03,18,174857.14,44,11,0.31,electronics,1
32831.72,28,198139.7,8,18,9.94,entertainment,0
1186.79,63,642361.04,14,19,712.45,electronics,0
183209.73,29,497007.44,18,14,3.68,electronics,1
35811.71,60,956764.09,35,11,20.44,travel,1
69716.37,46,532461.9,22,10,7.31,electronics,0
29474.44,47,10943.85,12,22,440.73,travel,0
17351.65,38,406276.24,16,0,508.06,travel,0
3138.78,38,177448.67,44,20,8.25,electronics,0
418672.3,48,570462.7,9,11,7.78,travel,0
30133.22,28,497425.2,15,21,1.43,electronics,0
61960.65,46,95204.66,9,14,10.59,travel,0
7609.65,35,1489981.5,14,0,440.77,utilities,0
21510.26,63,380759.11,11,9,222.77,grocery,0
168552.78,35,208407.36,10,8,25.32,entertainment,0
14174.73,38,212879.55,12,16,0.38,utilities,0
122229.24,34,382064.81,8,10,7.87,electronics,0
90255.05,41,141662.64,15,23,5.01,grocery,0
20985.46,39,124267.42,16,9,8.89,electronics,1
6006.63,59,141892.44,17,19,5.91,grocery,0
6859.09,48,297413.47,22,8,10.72,grocery,0
12162.2,50,232090.88,13,8,16.59,electronics,1
11863.53,62,328340.07,17,16,7.91,electronics,0
34846.96,45,360156.19,18,15,96.38,electronics,1
3418.1,33,26054.85,44,11,2.19,travel,0
15025.06,57,139996.13,11,7,9.55,grocery,0
11082.82,37,302158.66,4,0,0.31,utilities,0
4947.54,28,223785.99,12,13,5.53,utilities,0
61648.66,60,322854.43,17,11,12.01,utilities,0
42287.03,30,1564164.54,12,0,4.71,travel,1
40353.35,36,31746.54,43,15,21.56,grocery,0
2759.37,40,924282.08,10,12,22.8,travel,0
22978.68,73,358961.13,12,12,17.43,electronics,0
9858.47,38,300352.05,19,9,13.85,utilities,0
298.75,58,311432.62,17,19,21.12,electronics,0
5407.44,44,226881.54,4,9,510.74,travel,0
298.75,41,645121.06,22,16,5.04,travel,0
3356.24,40,348074.39,20,14,8.49,electronics,0
11791.79,35,467621.69,14,21,23.67,grocery,0
298.75,68,623001.11,12,12,2.95,travel,0
9326.95,51,323713.13,21,10,8.98,electronics,0
7040.09,28,393714.76,42,17,2.05,travel,0
200352.77,19,229908.45,44,19,27.67,grocery,0
31297.49,49,302101.68,44,14,10.96,travel,0
5181.61,69,339141.71,9,12,0.67,grocery,0
17635.84,18,2156089.47,10,11,21.72,grocery,0
61185.95,43,351729.58,26,11,23.45,grocery,0
61161.22,65,1315236.1,8,9,22.43,travel,0
13946.89,29,1008352.34,18,21,10.31,electronics,0
298.75,44,584771.43,16,23,3.36,electronics,0
13889.75,62,508193.82,4,7,8.02,electronics,0
226396.82,44,353277.83,20,23,5.91,grocery,0
19590.33,30,345900.78,44,13,295.65,utilities,0
18262.0,18,335244.98,44,8,19.66,grocery,0
263789.71,61,494442.51,14,19,7.61,electronics,1
105479.13,37,347875.17,11,10,695.64,entertainment,0
1015.08,61,286890.4,11,12,27.05,entertainment,0
69295.17,46,212025.26,39,0,1.1,grocery,0
22908.16,55,596828.48,6,16,1.69,grocery,1
40728.06,20,735012.98,22,9,22.36,entertainment,0
9533.5,71,450232.69,30,15,91.66,grocery,0
56538.33,44,512202.71,10,11,0.31,utilities,1
5365.4,52,252306.62,28,17,0.31,utilities,0
64052.36,39,138506.1,18,18,11.11,grocery,0
63802.39,51,351161.21,20,19,10.76,utilities,1
10910.49,52,182915.95,15,20,712.45,entertainment,0
38670.47,54,519198.49,19,13,245.59,grocery,0
29236.13,64,315925.24,14,2,712.45,entertainment,0
17328.29,49,1027285.3,4,16,12.1,entertainment,0
298.75,36,605048.91,17,11,103.43,electronics,0
119013.77,55,355889.24,10,20,5.07,grocery,0
99851.8,36,165866.16,15,11,15.29,travel,0
18350.37,52,1187964.36,44,19,14.89,electronics,0
298.75,61,206994.03,8,15,13.51,entertainment,0
45778.77,18,248583.26,10,8,10.68,electronics,0
18896.88,49,207771.89,19,16,13.58,grocery,0
10438.79,66,418449.08,20,17,1.69,utilities,0
38691.74,25,290329.38,9,0,15.08,grocery,1
81897.24,33,294377.22,44,11,5.52,electronics,0
82711.29,57,269957.56,42,13,698.7,electronics,0
151049.38,23,783660.61,21,21,712.45,grocery,0
11988.98,40,368042.57,13,17,4.79,grocery,0
51667.42,71,386465.53,20,17,24.48,travel,1
8714.25,59,388130.77,43,10,8.53,electronics,0
83441.42,61,999900.46,9,0,22.55,travel,0
41450.29,67,404643.31,17,17,0.31,utilities,0
298.75,35,246932.46,13,13,8.9,entertainment,0
298.75,44,531889.74,14,18,1.92,travel,0
20558.0,62,217952.94,13,0,18.46,grocery,0
139187.92,47,155999.85,44,11,25.83,grocery,0
35924.26,36,335540.54,8,19,9.83,travel,0
20326.48,51,434698.68,17,14,30.62,grocery,0
18873.27,50,355141.33,44,16,1.76,grocery,0
66678.09,49,303562.18,23,17,5.28,electronics,1
298.75,46,362213.06,12,20,6.27,electronics,0
10774.99,49,10943.85,18,21,18.91,entertainment,0
31876.99,60,560229.72,9,13,10.16,travel,0
45535.34,63,961774.47,6,13,666.2,grocery,0
12870.13,33,369150.89,6,11,13.71,travel,0
45429.92,57,934603.3,16,19,103.57,entertainment,0
35363.49,50,1590406.7,18,17,7.0,entertainment,0
15856.59,45,364779.03,20,23,6.88,utilities,0
70085.37,21,164374.34,12,22,9.97,grocery,0
298.75,54,594556.2,8,11,1.92,grocery,0
237225.33,29,107928.11,8,17,9.19,grocery,0
19823.47,59,259992.48,17,20,486.67,electronics,0
38906.28,26,182727.2,14,11,28.76,electronics,0
14703.18,50,67929.9,18,20,6.17,electronics,0
11033.69,57,361822.05,17,7,5.34,grocery,0
18497.54,18,385452.29,16,12,10.32,utilities,1
298.75,46,10943.85,12,12,2.09,electronics,0
184566.65,74,46706.31,17,21,9.81,grocery,0
71927.72,18,424287.83,19,4,7.48,entertainment,0
298.75,71,173387.9,15,23,93.85,electronics,0
175833.59,39,12609.94,18,11,26.31,grocery,0
34996.86,45,918422.16,14,7,23.36,travel,1
29950.44,73,499547.65,10,13,27.07,electronics,0
34478.75,62,215591.24,11,21,14.29,electronics,0
34215.61,35,345458.29,7,21,5.53,travel,0
2022.14,53,314534.44,14,10,500.18,electronics,1
3378.92,21,41675.77,44,17,9.99,grocery,0
49712.94,18,456266.28,11,7,0.31,electronics,0
16761.98,50,171523.26,13,21,10.07,electronics,0
8526.3,70,334681.96,15,20,10.65,electronics,0
298.75,50,153597.03,20,11,712.45,electronics,0
38004.29,58,305460.47,17,7,254.54,grocery,0
24261.13,59,47854.06,44,1,9.11,entertainment,0
66773.13,48,802349.62,17,10,8.2,utilities,0
298.75,46,359430.73,44,17,2.08,electronics,0
1430.55,51,92812.41,4,14,5.65,utilities,0
38410.82,36,384102.59,10,23,6.42,utilities,0
9713.35,59,350009.73,31,12,3.82,entertainment,0
7343.09,40,488325.55,14,18,8.98,electronics,0
34440.81,68,1039127.96,19,16,15.51,entertainment,0
298.75,30,381000.71,17,9,0.31,utilities,0
30696.17,57,536136.94,37,13,4.78,entertainment,0
23262.52,23,1963391.82,13,11,9.8,travel,0
54704.22,46,266720.63,11,13,10.58,electronics,0
38853.47,18,351086.32,16,23,2.76,utilities,0
17869.57,18,165524.92,19,14,18.47,travel,0
298.75,28,144626.27,20,7,0.31,entertainment,0
14168.25,69,885391.64,18,18,26.45,travel,0
3260.46,49,244494.3,20,10,10.64,travel,0
